id,label,label_name
763,9,truck
764,4,deer
765,0,airplane
766,8,ship
767,5,dog
768,9,truck
769,9,truck
770,6,frog
771,7,horse
772,1,automobile
773,8,ship
774,3,cat
775,2,bird
776,3,cat
777,8,ship
778,2,bird
779,2,bird
780,4,deer
781,6,frog
782,0,airplane
783,0,airplane
784,5,dog
785,3,cat
786,8,ship
787,2,bird
788,3,cat
789,7,horse
790,2,bird
791,9,truck
792,3,cat
793,8,ship
794,7,horse
795,8,ship
796,2,bird
797,7,horse
798,9,truck
799,0,airplane
800,2,bird
801,3,cat
802,2,bird
803,2,bird
804,2,bird
805,3,cat
806,3,cat
807,6,frog
808,2,bird
809,3,cat
810,2,bird
811,8,ship
812,0,airplane
813,5,dog
814,5,dog
815,1,automobile
816,4,deer
817,5,dog
818,6,frog
819,6,frog
820,2,bird
821,7,horse
822,0,airplane
823,1,automobile
824,7,horse
825,7,horse
826,8,ship
827,2,bird
828,9,truck
829,2,bird
830,2,bird
831,4,deer
832,2,bird
833,1,automobile
834,1,automobile
835,1,automobile
836,6,frog
837,6,frog
838,6,frog
839,5,dog
840,1,automobile
841,1,automobile
842,7,horse
843,0,airplane
844,4,deer
845,3,cat
846,3,cat
847,7,horse
848,1,automobile
849,2,bird
850,3,cat
851,5,dog
852,5,dog
853,5,dog
854,6,frog
855,1,automobile
856,4,deer
857,3,cat
858,7,horse
859,8,ship
860,8,ship
861,3,cat
862,6,frog
863,6,frog
864,2,bird
865,3,cat
866,0,airplane
867,9,truck
868,4,deer
869,3,cat
870,8,ship
871,0,airplane
872,0,airplane
873,1,automobile
874,1,automobile
875,5,dog
876,4,deer
877,9,truck
878,3,cat
879,1,automobile
880,8,ship
881,9,truck
882,3,cat
883,9,truck
884,9,truck
885,2,bird
886,9,truck
887,4,deer
888,8,ship
889,2,bird
890,9,truck
891,8,ship
892,8,ship
893,1,automobile
894,5,dog
895,3,cat
896,6,frog
897,8,ship
898,7,horse
899,6,frog
900,9,truck
901,8,ship
902,0,airplane
903,6,frog
904,4,deer
905,0,airplane
906,0,airplane
907,2,bird
908,5,dog
909,8,ship
910,2,bird
911,0,airplane
912,2,bird
913,7,horse
914,6,frog
915,9,truck
916,7,horse
917,1,automobile
918,5,dog
919,5,dog
920,6,frog
921,6,frog
922,3,cat
923,6,frog
924,2,bird
925,4,deer
926,7,horse
927,0,airplane
928,5,dog
929,6,frog
930,4,deer
931,6,frog
932,5,dog
933,2,bird
934,4,deer
935,6,frog
936,1,automobile
937,6,frog
938,0,airplane
939,4,deer
940,0,airplane
941,3,cat
942,1,automobile
943,8,ship
944,5,dog
945,4,deer
946,4,deer
947,1,automobile
948,7,horse
949,3,cat
950,9,truck
951,4,deer
952,7,horse
953,9,truck
954,7,horse
955,3,cat
956,7,horse
957,2,bird
958,8,ship
959,4,deer
960,6,frog
961,6,frog
962,1,automobile
963,2,bird
964,9,truck
965,0,airplane
966,4,deer
967,8,ship
968,7,horse
969,3,cat
970,9,truck
971,8,ship
972,7,horse
973,7,horse
974,0,airplane
975,2,bird
976,4,deer
977,1,automobile
978,1,automobile
979,4,deer
980,1,automobile
981,5,dog
982,4,deer
983,0,airplane
984,5,dog
985,6,frog
986,2,bird
987,8,ship
988,5,dog
989,0,airplane
990,2,bird
991,1,automobile
992,3,cat
993,5,dog
994,7,horse
995,3,cat
996,5,dog
997,1,automobile
998,3,cat
999,5,dog
